[INFO][2018-03-26 15:50:16,996][PID:3896][TID:4736] [onChannelIndication] GRPC Status : ChannelConnectivity.IDLE
[INFO][2018-03-26 15:50:17,197][PID:3896][TID:4920] [onChannelIndication] GRPC Status : ChannelConnectivity.CONNECTING
[INFO][2018-03-26 15:50:17,197][PID:3896][TID:4920] [onChannelIndication] GRPC Status : ChannelConnectivity.READY
[INFO][2018-03-26 15:50:21,002][PID:3896][TID:4544] [start] Starting Resource Manager...
[INFO][2018-03-26 15:50:21,007][PID:3896][TID:4544] [start] Starting VM Booker...
[INFO][2018-03-26 15:50:21,012][PID:3896][TID:4544] [start] Starting Auto Updater...
[INFO][2018-03-26 15:50:21,431][PID:3896][TID:3440] [run] Res state changed from:None to 1
[INFO][2018-03-26 15:50:31,525][PID:3896][TID:4544] [cleanup] Shutting down resource agent ...
[INFO][2018-03-26 15:50:31,525][PID:3896][TID:4544] [cleanup] Shutting down resource manager ...
[INFO][2018-03-26 15:50:31,525][PID:3896][TID:4544] [cleanup] Shutting down auto updater...
[INFO][2018-03-26 15:50:31,526][PID:3896][TID:4544] [cleanup] Shutting down vm monitor ...
[INFO][2018-03-26 15:50:31,526][PID:3896][TID:4544] [cleanup] Shutting down vm booker ...
[INFO][2018-03-26 15:50:32,154][PID:3896][TID:4544] [cleanup] Completed all cleanup tasks, resource agent will exit in 3 seconds. Bye...
